date,hour_of_day,day_of_week,is_weekend,season,temperature,electricity_demand,gas_demand
1/1/2025,0,2,0,Winter,6.5,419.43,141.28
1/1/2025,1,2,0,Winter,7.1,353.39,172.93
1/1/2025,2,2,0,Winter,1.3,433.17,170.09
1/1/2025,3,2,0,Winter,11.2,452.99,224.05
1/1/2025,4,2,0,Winter,2.1,363.21,263.51
1/1/2025,5,2,0,Winter,10.2,596.3,235.53
1/1/2025,6,2,0,Winter,6.9,520.41,232.81
1/1/2025,7,2,0,Winter,3.3,547.1,221.99
1/1/2025,8,2,0,Winter,-0.2,364.87,168.77
1/1/2025,9,2,0,Winter,12.6,535.39,153.71
1/1/2025,10,2,0,Winter,5.4,379.41,265.78
1/1/2025,11,2,0,Winter,11,537.42,188.03
1/1/2025,12,2,0,Winter,2.8,577.22,246.79
1/1/2025,13,2,0,Winter,7.2,448.19,134.13
1/1/2025,14,2,0,Winter,4,416.76,193.92
1/1/2025,15,2,0,Winter,11.7,447.21,257.15
1/1/2025,16,2,0,Winter,5,459.83,171.48
1/1/2025,17,2,0,Winter,11.7,592.49,183.21
1/1/2025,18,2,0,Winter,-1,449.23,245.25
1/1/2025,19,2,0,Winter,11.7,375.37,233.77
1/1/2025,20,2,0,Winter,4.6,521.37,208.87
1/1/2025,21,2,0,Winter,11.4,542.92,219.06
1/1/2025,22,2,0,Winter,2.2,416.29,210.85
1/1/2025,23,2,0,Winter,10.9,351.38,273.53
1/2/2025,0,3,0,Winter,10,420.11,160.02
1/2/2025,1,3,0,Winter,13.6,357.79,274.94
1/2/2025,2,3,0,Winter,5.6,597.14,226.67
1/2/2025,3,3,0,Winter,5.6,531.4,166.08
1/2/2025,4,3,0,Winter,11.4,449.69,184.25
1/2/2025,5,3,0,Winter,-1.2,536.47,160.7
1/2/2025,6,3,0,Winter,0.6,554,159.75
1/2/2025,7,3,0,Winter,2.6,417.24,254.87
1/2/2025,8,3,0,Winter,2.4,479.74,211.39
1/2/2025,9,3,0,Winter,4.1,357.74,162.25
1/2/2025,10,3,0,Winter,12.9,530.72,203.37
1/2/2025,11,3,0,Winter,9.6,377.08,230.34
1/2/2025,12,3,0,Winter,12.1,515.1,160.04
1/2/2025,13,3,0,Winter,1.9,492.83,274.56
1/2/2025,14,3,0,Winter,4.4,399.76,153.61
1/2/2025,15,3,0,Winter,11.2,414.63,169.83
1/2/2025,16,3,0,Winter,2.3,546.64,225.31
1/2/2025,17,3,0,Winter,6.6,559.56,139.64
1/2/2025,18,3,0,Winter,3.6,368.07,242.5
